Feature ID,GeneID
A_01_P000001,MEP1A
A_01_P000002,DMP1
A_01_P000003,CAPZA2
A_01_P000004,TJP2
A_01_P000005,CLPP
A_01_P000006,0
A_01_P000010,CNGA3
A_01_P000011,0
A_01_P000012,BARHL1
A_01_P000013,SLC4A1AP
A_01_P000017,ZDHHC20
A_01_P000018,ATG16L1
A_01_P000020,LYPD3
A_01_P000023,MED31
A_01_P000024,GPBP1L1
A_01_P000028,GINS3
A_01_P000029,0
A_01_P000030,0
A_01_P000031,0
A_01_P000036,APOOL
A_01_P000037,TPBG
A_01_P000038,COPS8
A_01_P000039,0
A_01_P000040,0
A_01_P000041,0
A_01_P000043,KIAA1324
A_01_P000044,TBXT
A_01_P000045,TOP3B
A_01_P000047,IL19
A_01_P000051,PDE8A
A_01_P000055,CKM
A_01_P000059,SLC13A1
A_01_P000060,FAP
A_01_P000061,HKDC1
A_01_P000062,LZTS2
A_01_P000063,SUMO3
A_01_P000065,CDCA2
A_01_P000066,0
A_01_P000067,RAB25
A_01_P000068,OR10A6
A_01_P000072,0
A_01_P000073,FAM57A
A_01_P000075,RXYLT1
A_01_P000077,UBE2C
A_01_P000078,OR4F3
A_01_P000079,STMN4
A_01_P000080,0
A_01_P000081,LOC697817
A_01_P000084,RNF17
A_01_P000085,SNX15
A_01_P000087,ADGRG7
A_01_P000090,0
A_01_P000093,0
A_01_P000094,USP13
A_01_P000095,SRM
A_01_P000097,SLC35G1
A_01_P000099,SMIM13
A_01_P000104,0
A_01_P000105,TMBIM6
A_01_P000107,CPNE8
A_01_P000108,PSMD8
A_01_P000111,KCNV2
A_01_P000112,FAM214B
A_01_P000113,CRISPLD2
A_01_P000114,TCN1
A_01_P000115,PAF1
A_01_P000116,0
A_01_P000118,0
A_01_P000119,0
A_01_P000121,0
A_01_P000122,FBXO40
A_01_P000123,ZACN
A_01_P000124,0
A_01_P000125,0
A_01_P000127,MSH4
A_01_P000130,AMY2B
A_01_P000131,FAM174A
A_01_P000133,DDIT4
A_01_P000135,0
A_01_P000137,G6PC
A_01_P000138,FAM171B
A_01_P000140,0
A_01_P000142,0
A_01_P000143,LPCAT1
A_01_P000145,0
A_01_P000147,PEBP1
A_01_P000149,0
A_01_P000150,WNT7A
A_01_P000154,C14H11orf87
A_01_P000155,0
A_01_P000157,0
A_01_P000160,PRSS21
A_01_P000161,DNASE2B
A_01_P000162,STRA6
A_01_P000163,ABHD16A
A_01_P000164,IL4
A_01_P000167,CRYGD
A_01_P000168,FLVCR2
A_01_P000169,HSPB2
A_01_P000170,TLR3
A_01_P000171,0
A_01_P000173,0
A_01_P000174,SORD
A_01_P000177,0
A_01_P000178,GHITM
A_01_P000179,0
A_01_P000180,CD2
A_01_P000182,ARMC12
A_01_P000183,LOC722116
A_01_P000184,0
A_01_P000185,0
A_01_P000188,0
A_01_P000189,0
A_01_P000190,DHRS7B
A_01_P000194,CTBP1
A_01_P000195,LOC100424162
A_01_P000196,LOC707383
A_01_P000197,MBLAC2
A_01_P000198,RITA1
A_01_P000199,SCP2D1
A_01_P000200,GFER
A_01_P000201,ZNF383
A_01_P000202,WNT4
A_01_P000204,0
A_01_P000207,HOXB3
A_01_P000208,RARRES2
A_01_P000209,MACC1
A_01_P000212,VASP
A_01_P000213,PPCS
A_01_P000214,RBM22
A_01_P000216,0
A_01_P000217,ZDHHC6
A_01_P000218,TAS2R9
A_01_P000220,0
A_01_P000221,POR
A_01_P000222,NAA60
A_01_P000224,CARHSP1
A_01_P000225,0
A_01_P000226,C7H14orf39
A_01_P000228,MED27
A_01_P000229,CBX4
A_01_P000230,0
A_01_P000231,0
A_01_P000232,DNAJC15
A_01_P000234,SELENOW
A_01_P000235,USP11
A_01_P000236,CRELD1
A_01_P000238,PSAP
A_01_P000242,TRIM37
A_01_P000244,0
A_01_P000245,SDF2L1
A_01_P000246,DEFB129
A_01_P000247,PHLDA1
A_01_P000248,UBALD1
A_01_P000250,0
A_01_P000251,TSPAN33
A_01_P000253,RPL27A
A_01_P000254,CLNK
A_01_P000255,0
A_01_P000256,0
A_01_P000258,0
A_01_P000259,C6H5orf34
A_01_P000261,0
A_01_P000262,OGG1
A_01_P000263,0
A_01_P000264,NOX1
A_01_P000266,MZF1
A_01_P000267,NPRL2
A_01_P000269,UBXN11
A_01_P000271,KLC4
A_01_P000273,PDE3B
A_01_P000274,PHF10
A_01_P000276,NEIL2
A_01_P000279,P3H3
A_01_P000280,SH3RF1
A_01_P000282,0
A_01_P000284,0
A_01_P000285,GADL1
A_01_P000287,0
A_01_P000288,WDR37
A_01_P000289,0
A_01_P000292,0
A_01_P000295,SLC29A1
A_01_P000296,GPC2
A_01_P000299,RNF130
A_01_P000300,TMEM126A
A_01_P000301,CHPF
A_01_P000303,0
A_01_P000304,FTHL17
A_01_P000305,USP21
A_01_P000306,0
A_01_P000308,ENTPD3
A_01_P000309,RPS6KA6
A_01_P000311,C2CD5
A_01_P000312,SNRNP25
A_01_P000313,MEIOB
